Neighborhood,LotArea,MSZoning,HouseStyle,LotFrontage,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,SalePrice
CollgCr,8450,RL,2Story,65,7,5,2003,2003,856,856,854,0,1710,2,1,3,1,8,0,2003,2,548,0,61,0,208500
Veenker,9600,RL,1Story,80,6,8,1976,1976,1262,1262,0,0,1262,2,0,3,1,6,1,1976,2,460,298,0,0,181500
CollgCr,11250,RL,2Story,68,7,5,2001,2002,920,920,866,0,1786,2,1,3,1,6,1,2001,2,608,0,42,0,223500
Crawfor,9550,RL,2Story,60,7,5,1915,1970,756,961,756,0,1717,1,0,3,1,7,1,1998,3,642,0,35,272,140000
NoRidge,14260,RL,2Story,84,8,5,2000,2000,1145,1145,1053,0,2198,2,1,4,1,9,1,2000,3,836,192,84,0,250000
Mitchel,14115,RL,1.5Fin,85,5,5,1993,1995,796,796,566,0,1362,1,1,1,1,5,0,1993,2,480,40,30,0,143000
Somerst,10084,RL,1Story,75,8,5,2004,2005,1686,1694,0,0,1694,2,0,3,1,7,1,2004,2,636,255,57,0,307000
NWAmes,10382,RL,2Story,NA,7,6,1973,1973,1107,1107,983,0,2090,2,1,3,1,7,2,1973,2,484,235,204,228,200000
OldTown,6120,RM,1.5Fin,51,7,5,1931,1950,952,1022,752,0,1774,2,0,2,2,8,2,1931,2,468,90,0,205,129900
BrkSide,7420,RL,1.5Unf,50,5,6,1939,1950,991,1077,0,0,1077,1,0,2,2,5,2,1939,1,205,0,4,0,118000
Sawyer,11200,RL,1Story,70,5,5,1965,1965,1040,1040,0,0,1040,1,0,3,1,5,0,1965,1,384,0,0,0,129500
NridgHt,11924,RL,2Story,85,9,5,2005,2006,1175,1182,1142,0,2324,3,0,4,1,11,2,2005,3,736,147,21,0,345000
Sawyer,12968,RL,1Story,NA,5,6,1962,1962,912,912,0,0,912,1,0,2,1,4,0,1962,1,352,140,0,0,144000
CollgCr,10652,RL,1Story,91,7,5,2006,2007,1494,1494,0,0,1494,2,0,3,1,7,1,2006,3,840,160,33,0,279500
NAmes,10920,RL,1Story,NA,6,5,1960,1960,1253,1253,0,0,1253,1,1,2,1,5,1,1960,1,352,0,213,176,157000
BrkSide,6120,RM,1.5Unf,51,7,8,1929,2001,832,854,0,0,854,1,0,2,1,5,0,1991,2,576,48,112,0,132000
NAmes,11241,RL,1Story,NA,6,7,1970,1970,1004,1004,0,0,1004,1,0,2,1,5,1,1970,2,480,0,0,0,149000
Sawyer,10791,RL,1Story,72,4,5,1967,1967,0,1296,0,0,1296,2,0,2,2,6,0,1967,2,516,0,0,0,90000
SawyerW,13695,RL,1Story,66,5,5,2004,2004,1114,1114,0,0,1114,1,1,3,1,6,0,2004,2,576,0,102,0,159000
NAmes,7560,RL,1Story,70,5,6,1958,1965,1029,1339,0,0,1339,1,0,3,1,6,0,1958,1,294,0,0,0,139000
NridgHt,14215,RL,2Story,101,8,5,2005,2006,1158,1158,1218,0,2376,3,1,4,1,9,1,2005,3,853,240,154,0,325300
IDOTRR,7449,RM,1.5Unf,57,7,7,1930,1950,637,1108,0,0,1108,1,0,3,1,6,1,1930,1,280,0,0,205,139400
CollgCr,9742,RL,1Story,75,8,5,2002,2002,1777,1795,0,0,1795,2,0,3,1,7,1,2002,2,534,171,159,0,230000
MeadowV,4224,RM,1Story,44,5,7,1976,1976,1040,1060,0,0,1060,1,0,3,1,6,1,1976,2,572,100,110,0,129900
Sawyer,8246,RL,1Story,NA,5,8,1968,2001,1060,1060,0,0,1060,1,0,3,1,6,1,1968,1,270,406,90,0,154000
NridgHt,14230,RL,1Story,110,8,5,2007,2007,1566,1600,0,0,1600,2,0,3,1,7,1,2007,3,890,0,56,0,256300
